용어명,물리명,도메인유형,도메인,데이터타입,코드명,정의,요청업무,최종요청자,최종수정일시
블로그명,BLOG_NM,명,명V100,VARCHAR(100),,"자신의 관심사에 따라 자유롭게 칼럼, 일기, 취재 기사 따위를 올리는 웹사이트의 이름",공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
블록명,BLCK_NM,명,명V256,VARCHAR(256),,"시가지, 주거 지대 따위의 작은 단위들을 몇 개 합친 일정한 구획의 이름",공공데이터 공통표준용어 5차(2022-07),행정안전부,2022-07-01 00:00:00
비고내용,RMRK_CN,내용,내용V4000,VARCHAR(4000),,"문서 따위에서, 그 내용에 참고가 될 만한 사항을 담은 내용",공공데이터 공통표준용어 5차(2022-07),행정안전부,2022-07-01 00:00:00
비공개게시물내용,PRVT_PST_CN,내용,내용V4000,VARCHAR(4000),,"여러 사람에게 알리기 위하여 내붙이거나 내걸어 두루 보게 한 글이나 물건 중, 숨기어 남에게 드러내지 않게 한 게시물의 내용",공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
비공개게시물여부,PRVT_PST_YN,여부,여부C1,CHAR(1),,숨기어 남에게 드러내거나 알리지 말아야 하는 글인지 아닌지 여부,공공데이터 공통표준용어 5차(2022-07),행정안전부,2022-07-01 00:00:00
비공개사유,PRVT_RSN,내용,내용V4000,VARCHAR(4000),,"어떤 사실이나 사물, 내용 따위를 남에게 알리거나 보이지 않게 한 이유",공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
비공개여부,PRVT_YN,여부,여부C1,CHAR(1),,"어떤 사실이나 사물, 내용 따위를 남에게 알리지 않거나 보이지 않을지 여부",공공데이터 공통표준용어 5차(2022-07),행정안전부,2022-07-01 00:00:00
비과세금액,TXFR_AMT,금액,금액N18,NUMBER(18),,세금을 매기지 않은 돈의 액수,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
비과세급여금액,TXFR_SLRY_AMT,금액,금액N15,NUMBER(15),,"근로자에게 지급되는 급여 항목 중에서, 소득세법 등에 따라 세금이 부과되지 않는 급여에 해당하는 항목의 액수",공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
비과세소득금액,TXFR_EARN_AMT,금액,금액N15,NUMBER(15),,세금을 매기지 않은 대상이 되는 소득의 액수,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
